,lineage,region,count,total
0,B.1.617.2,North America,8740,17607
1,B.1.1.7,North America,4556,17607
2,P.1,North America,1492,17607
3,AY.3,North America,939,17607
4,B.1.526,North America,397,17607
5,B.1.617.2,Africa,784,1142
6,B.1.351,Africa,155,1142
7,B.1.351.2,Africa,79,1142
8,B.1,Africa,23,1142
9,B.1.620,Africa,21,1142
10,B.1.617.2,Asia,2022,2814
11,B.1.1.7,Asia,330,2814
12,B.1.619,Asia,218,2814
13,None,Asia,158,2814
14,B.1.351,Asia,16,2814
15,B.1.617.2,Oceania,426,492
16,B.1.1.7,Oceania,41,492
17,B.1.351,Oceania,9,492
18,B.1.617.1,Oceania,6,492
19,B,Oceania,5,492
20,P.1,South America,530,808
21,C.37,South America,139,808
22,B.1.1.7,South America,41,808
23,B.1.621,South America,21,808
24,B.1.617.2,South America,19,808
25,B.1.617.2,Europe,86335,98448
26,B.1.1.7,Europe,9592,98448
27,P.1,Europe,477,98448
28,None,Europe,467,98448
29,P.1.1,Europe,218,98448
